"Black-bellied whistling-duck, Dendrocygna autumnalis",
"Fulvous whistling-duck, Dendrocygna bicolor (R)",
"Snow goose, Anser caerulescens",
"Ross's goose, Anser rossii",
"Greater white-fronted goose, Anser albifrons",
"Brant, Branta bernicla (R)",
"Cackling goose, Branta hutchinsii (R)",
"Canada goose, Branta canadensis",
"Trumpeter swan, Cygnus buccinator (R)",
"Tundra swan, Cygnus columbianus",
"Wood duck, Aix sponsa",
"Blue-winged teal, Spatula discors",
"Cinnamon teal, Spatula cyanoptera (R)",
"Northern shoveler, Spatula clypeata",
"Gadwall, Mareca strepera",
"Eurasian wigeon, Mareca penelope (R)",
"American wigeon, Mareca americana",
"Mallard, Anas platyrhynchos",
"American black duck, Anas rubripes",
"Mottled duck, Anas fulvigula",
"Northern pintail, Anas acuta",
"Green-winged teal, Anas crecca carolinensis",
"Canvasback, Aythya valisineria",
"Redhead, Aythya americana",
"Ring-necked duck, Aythya collaris",
"Greater scaup, Aythya marila",
"Lesser scaup, Aythya affinis",
"King eider, Somateria spectabilis (R)",
"Common eider, Somateria mollissima (R)",
"Harlequin duck, Histrionicus histrionicus (R)",
"Surf scoter, Melanitta perspicillata",
"White-winged scoter, Melanitta deglandi",
"Black scoter, Melanitta americana",
"Long-tailed duck, Clangula hyemalis",
"Bufflehead, Bucephala albeola",
"Common goldeneye, Bucephala clangula",
"Hooded merganser, Lophodytes cucullatus",
"Common merganser, Mergus merganser (R)",
"Red-breasted merganser, Mergus serrator",
"Masked duck, Nomonyx dominicus (R)",
"Ruddy duck, Oxyura jamaicensis",
"Plain chachalaca, Ortalis vetula (I)",
"Northern bobwhite, Colinus virginianus",
"Wild turkey, Meleagris gallopavo",
"Ruffed grouse, Bonasa umbellus",
"Pied-billed grebe, Podilymbus podiceps",
"Horned grebe, Podiceps auritus",
"Red-necked grebe, Podiceps grisegena",
"Eared grebe, Podiceps nigricollis",
"Western grebe, Aechmorphorus occidentalis (R)",
"Rock pigeon, Columba livia (I)",
"Eurasian collared-dove, Streptopelia decaocto (I)",
"Inca dove, Columbina inca (R)",
"Passenger pigeon, Ectopistes migratorius (E)",
"Common ground dove, Columbina passerina",
"White-winged dove, Zenaida asiatica",
"Mourning dove, Zenaida macroura",
"Smooth-billed ani, Crotophaga ani (R)",
"Yellow-billed cuckoo, Coccyzus americanus",
"Black-billed cuckoo, Coccyzus erythropthalmus",
"Common nighthawk, Chordeiles minor",
"Chuck-will's-widow, Antrostomus carolinensis",
"Eastern whip-poor-will, Antrostomus vociferus",
"Chimney swift, Chaetura pelagica",
"Mexican violetear, Colibri thalassinus (P)",
"Green-breasted mango, Anthracothorax prevostii (R)",
"Rivoli's hummingbird, Eugenes fulgens (R)",
"Blue-throated mountain-gem, Lampornis clemenciae (R)",
"Ruby-throated hummingbird, Archilochus colubris",
"Black-chinned hummingbird, Archilochus alexandri",
"Anna's hummingbird, Calypte anna (R)",
"Calliope hummingbird, Selasphorus calliope (R)",
"Rufous hummingbird, Selasphorus rufus",
"Allen's hummingbird, Selasphorus sasin (R)",
"Broad-tailed hummingbird, Selasphorus platycercus (R)",
"Broad-billed hummingbird, Cynanthus latirostris (R)",
"Buff-bellied hummingbird, Amazila yucatanensis (R)",
"Clapper rail, Rallus crepitans",
"King rail, Rallus elegans",
"Virginia rail, Rallus limicola",
"Sora, Porzana carolina",
"Common gallinule, Gallinula galeata",
"American coot, Fulica americana",
"Purple gallinule, Porphyrio martinicus",
"Yellow rail, Coturnicops noveboracensis (R)",
"Black rail, Laterallus jamaicensis (R)",
"Limpkin, Aramus guarauna",
"Sandhill crane, Antigone canadensis",
"Whooping crane, Grus americana (R)",
"Black-necked stilt, Himantopus mexicanus",
"American avocet, Recurvirostra americana",
"American oystercatcher, Haematopus palliatus",
"Northern lapwing, Vanellus vanellus (R)",
"Black-bellied plover, Pluvialis squatarola",
"American golden-plover, Pluviali dominicas",
"Killdeer, Charadrius vociferus",
"Semipalmated plover, Charadrius semipalmatus",
"Piping plover, Charadrius melodus",
"Wilson's plover, Charadrius wilsonia",
"Snowy plover, Charadrius nivosus (R)",
"Mountain plover, Charadrius montanus (P)",
"Upland sandpiper, Bartramia longicauda",
"Whimbrel, Numenius phaeopus",
"Long-billed curlew, Numenius americanus",
"Hudsonian godwit, Limosa haemastica (R)",
"Marbled godwit, Limosa fedoa",
"Ruddy turnstone, Arenaria interpres",
"Red knot, Calidris canutus",
"Ruff, Calidris pugnax (R)",
"Stilt sandpiper, Calidris himantopus",
"Curlew sandpiper, Calidris ferruginea (R)",
"Sanderling, Calidris alba",
"Dunlin, Calidris alpina",
"Purple sandpiper, Calidris maritima",
"Baird's sandpiper, Calidris bairdii",
"Least sandpiper, Calidris minutilla",
"White-rumped sandpiper, Calidris fuscicollis",
"Buff-breasted sandpiper, Calidris subruficollis",
"Pectoral sandpiper, Calidris melanotos",
"Semipalmated sandpiper, Calidris pusilla",
"Western sandpiper, Calidris mauri",
"Short-billed dowitcher, Limnodromus griseus",
"Long-billed dowitcher, Limnodromus scolopaceus",
"American woodcock, Scolopax minor",
"Wilson's snipe, Gallinago delicata",
"Spotted sandpiper, Actitis macularius",
"Solitary sandpiper, Tringa solitaria",
"Lesser yellowlegs, Tringa flavipes",
"Willet, Tringa semipalmata",
"Greater yellowlegs, Tringa melanoleuca",
"Wilson's phalarope, Phalaropus tricolor",
"Red-necked phalarope, Phalaropus lobatus",
"Red phalarope, Phalaropus fulicarius",
"South polar skua, Stercorarius maccormicki (R)",
"Pomarine jaeger, Stercorarius pomarinus",
